,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
0,абажурчик,баба,вабик,га,даба,евангелие,ёж,жаба,за,ибер,йеменец,кабак,лабаз,ма,набавка,оаз,па,раб,саадак,та,уазик,фа,хабалка,цадик,чабан,шабат,щавелёк,,,,эбен,юань,ябеда
1,абаз,бабахание,вабильщик,габардин,давешнее,евангелик,ёжик,жабник,забава,ибериец,йеменка,кабала,лабазник,мавзолей,набавщик,оазис,пава,раба,сааз,табак,уанстеп,фабианец,хабанера,цанга,чабарня,шабашка,щавелинка,,,,эбонит,юбилей,ябедник
2,абазин,бабашка,вавилоны,габарит,давилка,евангелист,ёкание,жабо,забавка,иберийка,йог,кабалист,лабазница,мавр,набавщица,обабок,павиан,рабатка,саам,табака,убавка,фабианизм,хабар,цапелька,чабер,шабашник,щавель,,,,эвакогоспиталь,юбиляр,ябедница
3,абазинец,баба-яга,вавилонянин,габбро,давило,евангелистка,ёлка,жабрей,забавник,иберка,йога,кабалистика,лабардан,мавританец,набалдашник,обагрение,павильон,рабкрин,саами,табакерка,убавление,фабианство,хабара,цапина,чабёр,шабашница,щавельник,,,,эвакоприёмник,юбилярша,ябедничание
4,абазинка,баббит,вавилонянка,габитус,давильня,евангеличка,ёлочка,жавель,забавница,ибис,йогурт,кабальеро,лабет,мавританка,набалованность,обалдевание,павильончик,рабовладелец,саамка,табакерочка,убаюкивание,фаблио,хабарник,цапка,чабрец,шабер,щебёнка,,,,эвакопункт,юбка,ябедничество
5,абак,бабёнка,вага,гаваец,давильщик,евгеника,ёмкость,жаворонок,забавность,ива,йогуртерий,кабан,лабиализация,маг,набальзамирование,обалдение,павлин,рабовладельчество,саба,табаковод,убегание,фабльо,хабарь,цапля,чавкание,шабёр,щебёночка,,,,эвакуатор,юбочка,яблоко
6,абака,бабёночка,вагант,гавайка,давка,евнух,ёра,жавороночек,забаллотирование,иван-да-марья,йод,кабанёнок,лабиализованность,магазин,набат,обалдуй,паводок,рабовладение,сабайон,табаководство,убедительность,фабра,хабитус,цапун,чавыча,шабли,щебёнщик,,,,эвакуация,юбочник,яблонник
7,аббат,бабенька,вагон,гавана,давление,еврей,ёрзание,жад,забалтывание,иванушка,йодоформ,кабанина,лабиальность,магазинка,набатчик,обандероление,павозка,раболепие,сабан,табакокурение,убеждение,фабрение,хавбек,цапунья,чага,шаблон,щебень,,,,эвакуированная,юбочница,яблоновка
8,аббатиса,бабёшка,вагонетка,гавань,давность,еврейка,ёрник,жадеит,забастовка,иван-чай,йоркшир,кабаниха,лабильность,магазинчик,набег,обандероливание,павозок,раболепство,сабантуй,табаконюхание,убеждённость,фабрика,хавронья,цапфа,чад,шаблонизация,щебет,,,,эвдемонизм,юбчонка,яблонька
9,аббатисса,бабища,вагонетчик,гавкание,дагерротип,еврейство,ёрничество,жадина,забастовщик,иваси,йот,кабанище,лабио-дентальность,магазинщик,набегание,обанкрочивание,паволока,раболепствование,сабеи,табак-самосад,убежище,фабрика-кухня,хавтайм,царапание,чадо,шаблонизирование,щебетание,,,,эвдемонист,ювелир,яблоня
10,аббатство,бабка,вагонетчица,гавот,дагерротипист,евро,ёрш,жадничание,забастовщица,ивина,йота,кабанок,лабиринт,магазинщица,набедренник,обасурманивание,павушка,работа,сабей,табакур,убивание,фабрикант,хадж,царапина,чадолюбие,шаблонность,щебетня,,,,эвен,юг,яблочко
11,аббревиатура,бабник,вагонка,гаврик,дагерротипия,евровидение,ёршик,жадность,забвение,ивишень,йотация,кабанчик,лаборант,магараджа,набережная,обаяние,паганизм,работёнка,сабеизм,табарган,убиение,фабрикантша,хаджи,царапинка,чадородие,шаблончик,щебетун,,,,эвенк,юго-восток,яблочник
12,абвер,бабонька,вагонник,гага,дагестанец,европеец,,жадюга,забег,ивка,йотирование,кабарга,лаборантка,магарыч,набережье,обаятель,пагинация,работёшка,сабейка,табасаран,убийственность,фабрикат,хадис,царапка,чадорождение,шаблонщик,щебетунья,,,,эвенка,юго-запад,яблочница
13,абверовец,бабочка,вагоновожатая,гагакание,дагестанка,европеизация,,жажда,забегаловка,ивняк,,кабардинец,лаборатория,магдалина,набивальщик,обаятельница,пагода,работишка,сабелька,табасаранец,убийство,фабрикатор,хазават,царевич,чадоубийца,шабот,щебетуха,,,,эвенкийка,югослав,яванец
14,аберрация,бабочник,вагоновожатый,гагара,дадан,европеизм,,жакан,забегание,ивнячок,,кабардинка,лабораторка,магизм,набивальщица,обаятельность,паголенок,работища,сабельник,табасаранка,убийца,фабрикация,хазар,царевна,чадра,шабрение,щебетушечка,,,,эвикция,югославка,яванка
15,абзац,бабр,вагоноопрокидыватель,гагарка,дайджест,европейка,,жакет,забеливание,иволга,,кабаре,лабрадор,магик,набивание,оббегание,пагуба,работка,сабельщик,табачишко,убитая,фабрикование,хазарин,царедворец,чадушко,шабрование,щебетушка,,,,эвкалипт,югрич,явка
16,абиогенез,бабуин,вагоностроение,гагат,дакальщик,европейство,,жакетик,забелка,иврит,,кабарожка,лабрадорит,магистерство,набивка,оббивание,пагубность,работник,сабза,табачище,убитость,фабриковка,хазарка,царёк,чадь,шабровка,щебнебоец,,,,эвклаз,югурт,явление
17,абиссаль,бабуленька,вагон-ресторан,гагауз,дакальщица,европеоид,,жакетка,заберег,ивушка,,кабатчик,лава,магистр,набивщик,оббивка,падалец,работница,сабля,табачник,ублаготворение,фабричка,хай,цареубийство,чаевание,шабровщик,щебрец,,,,эвкоммия,юдаизм,явленьице
18,абиссинец,бабуля,вагончик,гагаузка,дакание,европеянин,,жако,заберега,игил,,кабатчица,лаванда,магистраль,набивщица,обвал,падалина,работничек,сабо,табачница,ублажатель,фабричная,хайло,цареубийца,чаёвник,шабур,щеврица,,,,эволюционизм,юдоль,явор
19,абиссинка,бабуся,вагонщик,гад,дактилология,европеянка,,жакоб,забивание,игиль,,кабачишко,лаваш,магистранство,набирание,обваливание,падалица,работодатель,саботаж,табачок,ублажение,фабричник,хакас,царизм,чаёвница,шавка,щеглёнок,,,,эволюционирование,юдофил,явственность
20,абитуриент,бабуша,вагранка,гадалка,дактилоскопия,европий,,жалейка,забивка,игла,,кабачище,лавина,магистрант,наблюдатель,обвалка,падалище,работорговец,саботажник,табель,ублюдок,фабричница,хакаска,царица,чаёвничание,шавочка,щеглиха,,,,эволюционист,юдофильство,явь
